"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137","test_tab_navigation_displays_correct_heading[data1]","tests.retractable_banners.ui","Mon May 12 21:55:26 GMT+04:00 2025","passed","Mon May 12 21:55:26 GMT+04:00 2025","","test_tab_navigation","",""
"","145","test_tab_navigation_displays_correct_heading[data0]","tests.retractable_banners.ui","Mon May 12 21:55:15 GMT+04:00 2025","passed","Mon May 12 21:55:16 GMT+04:00 2025","","test_tab_navigation","",""
"","138","test_tab_navigation_displays_correct_heading[data3]","tests.retractable_banners.ui","Mon May 12 21:55:47 GMT+04:00 2025","passed","Mon May 12 21:55:47 GMT+04:00 2025","","test_tab_navigation","",""
"","2239","test_rollup_matches_selected_size","tests.retractable_banners.configuration","Mon May 12 21:54:28 GMT+04:00 2025","passed","Mon May 12 21:54:30 GMT+04:00 2025","","test_warning_modal_functionality","",""
"","149","test_tab_navigation_displays_correct_heading[data4]","tests.retractable_banners.ui","Mon May 12 21:55:58 GMT+04:00 2025","passed","Mon May 12 21:55:58 GMT+04:00 2025","","test_tab_navigation","",""
"","2244","test_total_price_discount_calculation","tests.retractable_banners.pricing","Mon May 12 21:54:52 GMT+04:00 2025","passed","Mon May 12 21:54:54 GMT+04:00 2025","","test_discounted_price","",""
"","216","test_base_price_matches_ui","tests.retractable_banners.pricing","Mon May 12 21:54:41 GMT+04:00 2025","passed","Mon May 12 21:54:41 GMT+04:00 2025","","test_base_price","",""
"","301","test_total_price_updates_on_dropdown_selection","tests.retractable_banners.pricing","Mon May 12 21:55:05 GMT+04:00 2025","passed","Mon May 12 21:55:05 GMT+04:00 2025","","test_total_price","",""
"","165","test_tab_navigation_displays_correct_heading[data2]","tests.retractable_banners.ui","Mon May 12 21:55:36 GMT+04:00 2025","passed","Mon May 12 21:55:37 GMT+04:00 2025","","test_tab_navigation","",""
"","1369","test_unit_switching_updates_text_and_dropdown","tests.retractable_banners.configuration","Mon May 12 21:54:16 GMT+04:00 2025","passed","Mon May 12 21:54:17 GMT+04:00 2025","","test_unit_swich","",""
